title,date,url,song,artist,start,duration,note
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ1BQGFk?si=DxNpWxLpdcgerRNc,青春コンプレックス,結束バンド,219,206,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ2BQGFk?si=DxNpWxLpdcgerRNc,ギラギラ,Ado,585,275,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ3BQGFk?si=DxNpWxLpdcgerRNc,だから僕は音楽を辞めた,ヨルシカ,1199,212,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ4BQGFk?si=DxNpWxLpdcgerRNc,シンデレラボーイ,Saucy Dog,1580,230,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ5BQGFk?si=DxNpWxLpdcgerRNc,Stellar Stellar,星街すいせい,1883,302,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ6BQGFk?si=DxNpWxLpdcgerRNc,マーシャル・マキシマイザー,柊マグネタイト feat. 可不,2379,163,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ7BQGFk?si=DxNpWxLpdcgerRNc,恋愛裁判,40mP feat. 初音ミク,2686,223,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ8BQGFk?si=DxNpWxLpdcgerRNc,フォニイ,ツミキ feat. 可不,3175,190,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ9BQGFk?si=DxNpWxLpdcgerRNc,Bad Apple!!,Alstroemeria Records feat. Nomico,3494,215,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ10BQGFk?si=DxNpWxLpdcgerRNc,残機,ずっと真夜中でいいのに。,3952,229,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ11BQGFk?si=DxNpWxLpdcgerRNc,アンノウン・マザーグース,wowaka feat. 初音ミク,4333,278,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ12BQGFk?si=DxNpWxLpdcgerRNc,わたしのアール,和田たけあき(くらげP) feat. 初音ミク,4823,250,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ13BQGFk?si=DxNpWxLpdcgerRNc,長く短い祭,椎名林檎,5155,260,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ14BQGFk?si=DxNpWxLpdcgerRNc,逆光,Ado,5485,242,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ15BQGFk?si=DxNpWxLpdcgerRNc,魂のルフラン,高橋洋子,5800,322,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ16BQGFk?si=DxNpWxLpdcgerRNc,紅蓮華,LiSA,6138,238,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ17BQGFk?si=DxNpWxLpdcgerRNc,Over soul,林原めぐみ,6514,231,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ18BQGFk?si=DxNpWxLpdcgerRNc,少女レイ,みきとP feat. 初音ミク,7169,288,
〖 縦型歌枠 〗この歌枠は縦型なんだ 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/AJzuJ19BQGFk?si=DxNpWxLpdcgerRNc,Mela!,緑黄色社会,7624,241,
