title,date,url,song,artist,start,duration,note
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,アスノヨゾラ哨戒班,Orengestar feat. IA,416,181,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,気まぐれロマンティック,いきものがかり,831,248,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,リードコントロール,なるみや,1288,148,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,少女レイ,みきとP feat. 初音ミク,1605,288,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,打上花火,DAOKO × 米津玄師,2233,290,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,春に告げる,yama,2653,205,原キー
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,いのちの名前,木村弓,3011,239,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,フォニイ,ツミキ feat. 可不,3365,197,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,紅蓮華,LiSA,3615,236,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,ラヴィ,すりぃ feat. 鏡音レン,4158,192,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,8.32,*Luna feat. flower,4490,109,1番だけ
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,アンノウン・マザーグース,wowaka feat. 初音ミク,4742,283,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,ハレンチ,ちゃんみな,5239,204,
〖 歌枠 〗お昼なにたべよ〖 眠雲ツクリ / ミリプロ 〗,2025/8/9,https://www.youtube.com/live/L8Ydc01uae0?si=8_TKwgTxnHW-dDLQ,だから僕は音楽を辞めた,ヨルシカ,5683,245,
