title,date,url,song,artist,start,duration,note
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,モザイクロール,DECO*27 feat. GUMI,238,189,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,ロミオとシンデレラ,doriko feat. 初音ミク,778,279,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,航海の唄,さユり,1160,288,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,一度だけの恋なら,ワルキューレ,1643,260,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,名前のない怪物,EGOIST,2156,327,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,ロキ,みきとP feat. 鏡音リン,2615,234,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,踊,Ado,3082,217,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,ローリンガール,wowaka feat. 初音ミク,3601,204,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,セツナトリップ,Last Note. feat. GUMI,3992,255,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,スロウダウナー,"ろくろ feat. 初音ミク,GUMI",4431,239,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,unravel,TK from 凛として時雨,4849,240,
〖 歌枠 〗とても素敵な 〖 眠雲ツクリ / ミリプロ 〗,2025/6/30,https://www.youtube.com/live/OsAowO2rwX8?si=DT1ZfjFV2D3obtIg,とても素敵な六月でした,Eight feat. 初音ミク,6217,286,
