title,date,url,song,artist,start,duration,note
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,サウダージ,ポルノグラフィティ,1081,257,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,少女レイ,みきとP feat. 初音ミク,1520,295,わりとハズレ(これはこれで当たり)
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,アイラ,n-buna feat. GUMI,1937,273,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,砂の惑星,ハチ feat. 初音ミク,2551,243,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,八月の夜,SILENT SIREN,2946,98,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,紅蓮華,LiSA,3224,242,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,炎,LiSA,3755,285,煉獄さんは負けてなぁい
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,深海のリトルクライ,sasakure. UK feat. 土岐麻子,4247,254,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,独りんぼエンヴィー,koyori(電ポルP) feat. 初音ミク,4927,205,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,ポニーテールとシュシュ,AKB48,5230,277,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,帰り道は遠回りしたくなる,乃木坂46,5852,275,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,孤独月,幽閉サテライト with senya,6461,240,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,snooze,wotaku feat. 初音ミク,6923,181,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,IMAWANOKIWA,いよわ feat. 初音ミク,7280,258,
〖 歌枠 〗 八月一発目はこうじゃろ〖 眠雲ツクリ / ミリプロ 〗,2025/8/3,https://www.youtube.com/live/-04_M7QpSvA?si=haWYtpYAOuSEOMKt,おやすみ泣き声、さよなら歌姫,クリープハイプ,8523,233,
