title,date,url,song,artist,start,duration,note
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,水流のロック,日食なつき,235,183,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,残響散歌,Aimer,526,181,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,バレリーコ,みきとP feat. GUMI,955,246,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,ロミオとシンデレラ,doriko feat. 初音ミク,1281,282,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,雨とカプチーノ,ヨルシカ,1684,274,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,神っぽいな,ピノキオピー feat. 初音ミク,2075,204,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,天ノ弱,164 feat. GUMI,2415,188,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,人間みたいね,キタニタツヤ,2707,246,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,二息歩行,DECO*27 feat. 初音ミク,2957,181,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,ハレンチ,ちゃんみな,3294,199,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,蜜月アン・ドゥ・トロワ,DATEKEN feat. 鏡音リン,3591,253,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,いかないで,想太 feat. 歌愛ユキ,4289,237,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,ガーデン,藤井風,4570,233,
〖 歌枠 〗高評価800いくまで終われま8→2222いってもうた 〖 眠雲ツクリ / ミリプロ 〗,2025/6/3,https://www.youtube.com/live/AjiIhR7vnvs?si=xcRlO5kM6ldI8bT-,only my railgun,fripSide,4956,249,
