配信タイトル,日付,youtubeリンク,歌,作者,開始時間,再生時間
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/20,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn5WOHu,ヒバナ,DECO*27 feat. 初音ミク,152,208
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/21,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn6WOHu,ロミオとシンデレラ,doriko feat. 初音ミク,367,283
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/22,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn7WOHu,again,YUI,859,252
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/23,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn8WOHu,炉心融解,iroha(sasaki) feat. 鏡音リン,1340,328
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/24,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn9WOHu,幽霊東京,Ayase feat. 初音ミク,2056,202
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/25,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn10WOHu,ルーマー,ポリスピカデリー feat. GUMI,2575,174
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/26,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn11WOHu,フラレガイガール,さユり,3006,372
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/27,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn12WOHu,能動的三分間,東京事変,3612,185
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/28,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn13WOHu,メランコリーキッチン,米津玄師,4273,219
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/29,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn14WOHu,モニタリング,DECO*27 feat. 初音ミク,4644,178
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/30,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn15WOHu,ずうっといっしょ！,キタニタツヤ,4980,179
〖 歌枠 〗あたしのことが知りたいなら歌を聴け 〖 眠雲ツクリ / ミリプロ 〗,2025/5/31,https://www.youtube.com/live/ceAlqDW8CwE?si=DJxv9-nloCn16WOHu,素敵なしゅうまつを！,キタニタツヤ,5343,191
