title,date,url,song,artist,start,duration,note
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,パンダヒーロー,ハチ feat. GUMI,295,226,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,残響散歌,Aimer,648,186,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,残酷な天使のテーゼ,高橋洋子,1011,253,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,魂のルフラン,高橋洋子,1379,318,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,少女レイ,みきとP feat. 初音ミク,1777,285,なかなか当たらない
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,Surges,Orangestar feat. IA & 初音ミク,2211,61,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,ただ君に晴れ,ヨルシカ,2424,204,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,言って。,ヨルシカ,2672,249,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,だから僕は音楽を辞めた,ヨルシカ,2936,249,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,あの夏が飽和する,カンザキイオリ feat. 鏡音リン・レン,3359,131,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,サリシノハラ,みきとP feat. 初音ミク,3565,293,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,小夜子,みきとP feat. 初音ミク,3918,84,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,ハッピーラッキーチャッピー,ano,4102,191,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,ローリンガール,wowaka feat. 初音ミク,4503,192,-5
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,残酷な夜に輝け,LiSA,4846,380,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,気まぐれロマンティック,いきものがかり,5445,245,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,フォニイ,ツミキ feat. 可不,5773,194,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,スロウダウナー,ろくろ feat. 初音ミク GUMI,6140,230,
〖 歌枠 〗10万人耐久！いくぞ〖 眠雲ツクリ / ミリプロ 〗,2025/8/28,https://www.youtube.com/live/H1EUSvzseMg?si=qtawF7th7EQdK7cN,深海少女,ゆうゆ feat. 初音ミク,6463,219,
